epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,785.015,1.35669,38.4296,3.339,0.84824,2.01845,0.99097,1,0.995,0.828,0.99097,1,0.995,0.38945,0.80084,26.3673,1.34985,0.51229,1.62883,0.067275,0.000330556,0.000330556
2,1521.98,0.81175,18.7781,2.06548,0.50884,1.49004,0.99409,1,0.995,0.80657,0.99409,1,0.995,0.52102,0.7491,17.5322,0.87451,0.56812,1.71633,0.0342706,0.000659507,0.000659507
3,2257.67,0.77645,15.1494,1.90982,0.51127,1.42311,0.99752,1,0.995,0.89604,0.99752,1,0.995,0.4861,0.57117,17.5138,1.48567,0.59308,1.51123,0.00126184,0.000984059,0.000984059
4,2959.87,0.74938,12.1358,1.8041,0.48523,1.40479,0.99497,1,0.995,0.90383,0.99497,1,0.995,0.73177,0.56671,9.14079,1.03703,0.41716,1.43067,0.0009802,0.0009802,0.0009802
5,3748.93,0.75382,9.46483,1.69149,0.46923,1.38082,0.98917,1,0.995,0.90161,0.98917,1,0.995,0.78503,0.54402,6.62535,0.60041,0.4245,1.39209,0.0009736,0.0009736,0.0009736
6,4522.24,0.70768,7.79769,1.71399,0.45494,1.32987,0.99755,1,0.995,0.92965,0.99755,1,0.995,0.73477,0.48863,7.81319,0.9198,0.33821,1.40123,0.000967,0.000967,0.000967
7,5237.55,0.70726,7.42595,1.62789,0.44155,1.32717,0.99797,1,0.995,0.9161,0.99797,1,0.995,0.62628,0.44175,10.6394,0.96633,0.33674,1.3215,0.0009604,0.0009604,0.0009604
8,5951.7,0.62981,6.86624,1.59111,0.40825,1.27002,0.99703,1,0.995,0.94369,0.99703,1,0.995,0.85105,0.37804,5.42253,0.89912,0.29222,1.27143,0.0009538,0.0009538,0.0009538
9,6753.15,0.67808,6.03258,1.57266,0.41868,1.27951,0.99798,1,0.995,0.94372,0.99798,1,0.995,0.8324,0.39783,5.83426,0.7655,0.29847,1.28673,0.0009472,0.0009472,0.0009472
10,7485.22,0.61858,5.49807,1.60429,0.39756,1.22936,0.99807,1,0.995,0.94217,0.99807,1,0.995,0.85727,0.37845,4.9489,0.54003,0.30608,1.24229,0.0009406,0.0009406,0.0009406
11,8243.35,0.65324,5.06816,1.67139,0.41568,1.22501,0.998,1,0.995,0.94589,0.998,1,0.995,0.88478,0.39594,4.65841,0.60576,0.28463,1.20489,0.000934,0.000934,0.000934
