epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.247,3.04603,83.8994,9.58674,5.0692,3.52154,0,0,0,0,0,0,0,0,3.81054,94.7482,3.28618,5.81147,8.44094,0.000653333,0.000653333,0.000653333
2,60.3489,2.39573,67.1227,5.22975,1.15323,3.17804,0.01843,0.36364,0.01469,0.00588,0,0,0,0,1.95791,92.9804,10.8004,9.2726,9.88337,0.00131129,0.00131129,0.00131129
3,85.752,2.08549,57.7842,3.77799,1.10586,2.85034,0.05556,0.90909,0.06032,0.02207,0,0,0,0,2.80715,99.7502,0.02611,337.05,24.0549,0.00196044,0.00196044,0.00196044
4,111.024,1.79149,49.7692,3.7797,1.06024,2.6037,0.04135,1,0.06958,0.03155,0,0,0,0,1.25431,99.6854,2.01205,633.76,23.7036,0.0019604,0.0019604,0.0019604
5,136.43,1.48986,40.6976,3.82052,0.89355,2.20589,0.221,1,0.56649,0.46974,0,0,0,0,0.87627,66.6798,0.84934,13.1369,1.692,0.0019472,0.0019472,0.0019472
6,161.044,1.24307,38.706,3.12922,0.86967,2.05413,0.70653,1,0.96731,0.72508,0.01783,0.09091,0.00653,0.00065,0.841,42.7784,0.95002,3.56353,1.808,0.001934,0.001934,0.001934
7,186.645,1.07019,32.0214,3.33496,0.71143,1.87183,0.275,1,0.38666,0.2806,0.07317,0.36364,0.03405,0.00654,1.00003,63.6344,1.00217,15.9051,3.48652,0.0019208,0.0019208,0.0019208
8,208.829,1.05461,31.2088,2.94254,0.71966,1.84115,0.96427,1,0.995,0.71255,0.08773,0.09091,0.04533,0.01449,1.07665,43.5245,1.61123,2.80196,2.48799,0.0019076,0.0019076,0.0019076
9,225.739,0.98971,27.1379,2.89773,0.69672,1.72539,0.97277,1,0.995,0.81791,0.97277,1,0.995,0.22803,0.82552,26.0719,1.97995,4.63835,1.78869,0.0018944,0.0018944,0.0018944
10,247.077,0.94445,23.6729,2.8554,0.6193,1.70395,0.99014,1,0.995,0.89328,0.99014,1,0.995,0.57836,0.73327,18.5702,1.80323,0.54702,1.6194,0.0018812,0.0018812,0.0018812
11,267.245,0.8785,20.6347,2.56098,0.59694,1.60234,0.97014,1,0.995,0.84778,0.97014,1,0.995,0.55866,0.68221,14.5775,1.65702,1.55774,1.41957,0.001868,0.001868,0.001868
12,287.103,0.90809,16.4501,2.63462,0.59605,1.62987,0.9831,1,0.995,0.83336,0.9831,1,0.995,0.78302,0.8453,10.416,1.1817,1.39762,1.71189,0.0018548,0.0018548,0.0018548
13,307.399,0.89012,14.4434,2.65755,0.5725,1.59134,0.99397,1,0.995,0.8772,0.99397,1,0.995,0.67645,0.66466,8.54703,1.32273,0.49877,1.46184,0.0018416,0.0018416,0.0018416
14,327.081,0.8694,13.1223,2.40284,0.56226,1.51459,0.97944,1,0.995,0.8955,0.97944,1,0.995,0.82604,0.73923,7.12564,1.33874,1.31802,1.54041,0.0018284,0.0018284,0.0018284
15,347.619,0.85703,12.2922,2.49901,0.53413,1.52952,0.98874,1,0.995,0.91576,0.98874,1,0.995,0.82658,0.58301,5.85607,1.41943,0.51622,1.41569,0.0018152,0.0018152,0.0018152
16,367.748,0.85155,12.3041,2.28201,0.54104,1.60373,0.99502,1,0.995,0.88829,0.99502,1,0.995,0.84688,0.78547,7.25208,1.63621,0.53198,1.67455,0.001802,0.001802,0.001802
17,387.268,0.79418,10.5618,2.28196,0.50448,1.48996,0.99475,1,0.995,0.95381,0.99475,1,0.995,0.9206,0.47475,3.68545,1.3821,0.43123,1.28503,0.0017888,0.0017888,0.0017888
18,404.385,0.82663,10.4784,2.34042,0.51596,1.50531,0.99533,1,0.995,0.93873,0.99533,1,0.995,0.90265,0.47783,4.84463,1.20323,0.44978,1.28282,0.0017756,0.0017756,0.0017756
19,423.202,0.76191,10.2801,2.02901,0.49343,1.46015,0.99468,1,0.995,0.92861,0.99468,1,0.995,0.88932,0.49208,4.8601,1.0774,0.42745,1.28512,0.0017624,0.0017624,0.0017624
20,442.201,0.86609,10.7626,1.87554,0.52836,1.5245,0.97141,1,0.995,0.91994,0.97141,1,0.995,0.89401,0.57814,4.42204,0.98222,0.42183,1.39305,0.0017492,0.0017492,0.0017492
21,459.81,0.82873,11.7878,2.13194,0.49895,1.47055,0.99525,1,0.995,0.91714,0.99525,1,0.995,0.86776,0.52255,4.52326,0.80992,0.37813,1.31436,0.001736,0.001736,0.001736
22,477.959,0.78218,10.1428,1.92713,0.48857,1.4129,0.99348,1,0.995,0.87399,0.99348,1,0.995,0.90512,0.61967,4.25007,0.7645,0.49129,1.42104,0.0017228,0.0017228,0.0017228
23,495.575,0.77012,9.20214,1.79113,0.45797,1.41219,0.97087,1,0.995,0.83951,0.97087,1,0.995,0.83663,0.99549,7.9277,1.08563,0.70041,1.89095,0.0017096,0.0017096,0.0017096
24,511.359,0.81153,10.3792,1.97225,0.49542,1.4757,0.99448,1,0.995,0.8955,0.99448,1,0.995,0.84387,0.47575,5.77996,0.56854,0.41087,1.22742,0.0016964,0.0016964,0.0016964
25,531.399,0.74964,9.5861,1.68358,0.47983,1.36361,0.98508,1,0.995,0.90576,0.98508,1,0.995,0.88414,0.56489,7.13429,0.94783,0.51778,1.3335,0.0016832,0.0016832,0.0016832
26,551.727,0.77178,8.9496,1.82194,0.46135,1.41092,0.99516,1,0.995,0.91878,0.99516,1,0.995,0.93584,0.48238,3.18593,0.80314,0.31452,1.24112,0.00167,0.00167,0.00167
27,572.008,0.74168,8.30482,1.74682,0.44118,1.40319,0.99412,1,0.995,0.9187,0.99412,1,0.995,0.89015,0.46333,4.32845,0.58241,0.30955,1.25884,0.0016568,0.0016568,0.0016568
28,592.796,0.71578,7.58668,1.73405,0.42302,1.3698,0.99418,1,0.995,0.9215,0.99418,1,0.995,0.9019,0.45986,4.63377,0.58254,0.33338,1.23035,0.0016436,0.0016436,0.0016436
29,612.899,0.74014,7.23966,1.7778,0.4281,1.36441,1,1,0.995,0.93315,1,1,0.995,0.89114,0.42111,3.86126,0.62845,0.30932,1.17503,0.0016304,0.0016304,0.0016304
30,632.045,0.70788,6.63207,1.64364,0.43223,1.34093,0.99512,1,0.995,0.90846,0.99512,1,0.995,0.88292,0.43973,4.16627,0.65542,0.31207,1.20857,0.0016172,0.0016172,0.0016172
31,648.121,0.70844,5.96444,1.82243,0.43278,1.36196,0.99514,1,0.995,0.91241,0.99514,1,0.995,0.90379,0.459,3.99989,0.70685,0.35,1.21917,0.001604,0.001604,0.001604
32,663.879,0.71715,5.78336,1.73827,0.43294,1.33346,0.99513,1,0.995,0.96984,0.99513,1,0.995,0.92241,0.40279,3.5564,0.67474,0.30778,1.15994,0.0015908,0.0015908,0.0015908
33,679.746,0.70044,5.27633,1.69488,0.40428,1.31712,0.99532,1,0.995,0.9261,0.99532,1,0.995,0.84973,0.41231,5.05801,0.49386,0.30184,1.15549,0.0015776,0.0015776,0.0015776
34,695.633,0.71095,5.11262,1.69333,0.42267,1.30239,1,1,0.995,0.92477,1,1,0.995,0.91165,0.41516,3.68126,0.50513,0.28299,1.17489,0.0015644,0.0015644,0.0015644
35,712.274,0.62934,4.82368,1.52164,0.38856,1.28464,1,1,0.995,0.9502,1,1,0.995,0.96687,0.38051,2.77788,0.51779,0.282,1.0986,0.0015512,0.0015512,0.0015512
36,728.973,0.7116,4.64386,1.75892,0.40857,1.30406,1,1,0.995,0.90434,1,1,0.995,0.90937,0.49548,3.66307,0.61905,0.36415,1.24683,0.001538,0.001538,0.001538
37,745.845,0.69729,4.61953,1.49249,0.39643,1.31329,0.99514,1,0.995,0.91098,0.99514,1,0.995,0.90148,0.47871,3.88068,0.6201,0.33289,1.24016,0.0015248,0.0015248,0.0015248
